_RAJ2000,_DEJ2000,Vmag,Bmag
299.361972200,35.229758300,17.580,18.700
299.362705600,35.212616700,17.650,19.150
299.366253100,35.201208100,14.050,14.540
299.367788900,35.248108300,17.080,17.280
299.367905600,35.227377800,17.580,18.800
299.369459700,35.246028300,15.610,16.640
299.370855800,35.233995300,13.480,13.760
299.370977800,35.223377800,17.180,17.040
299.371683300,35.241197200,16.620,16.920
299.371702800,35.257483300,16.440,16.870
299.372036100,35.239947200,17.740,18.620
299.373486100,35.251708300,16.310,16.730
299.374438900,35.251977800,17.390,16.170
299.375636100,35.242155600,17.140,18.020
299.376858300,35.205861100,17.040,17.770
299.376883300,35.252119400,16.450,17.060
299.378130600,35.263302800,16.550,17.620
299.380216700,35.248294400,17.390,18.350
299.380561100,35.211261100,17.040,17.620
299.380888900,35.269702800,17.300,17.970
299.381044400,35.259144400,16.170,16.470
299.381911100,35.202997200,17.940,18.180
299.382597500,35.254218600,15.520,16.230
299.383356100,35.272935300,15.670,15.960
299.383961100,35.200502800,16.620,19.560
299.384650000,35.226563900,17.540,17.720
299.384750000,35.258508300,17.180,18.140
299.384754700,35.230216900,13.880,14.850
299.385222200,35.268863900,17.800,18.960
299.385284200,35.219319200,14.890,15.790
299.386896700,35.280162200,16.330,18.350
299.387291700,35.210544400,17.410,16.750
299.387613900,35.254277800,17.470,18.760
299.387694400,35.206452800,13.450,
299.387763900,35.283683300,17.620,18.350
299.388819400,35.271555600,17.630,17.990
299.391363900,35.214980600,16.980,17.260
299.392872800,35.236356400,12.650,12.750
299.393541700,35.258041700,16.610,18.210
299.393636100,35.279072200,17.740,18.650
299.394042500,35.294693100,15.090,15.900
299.394450000,35.222733300,14.670,16.430
299.394619400,35.245163900,16.370,17.550
299.396063900,35.264022200,17.810,19.120
299.396315300,35.234389400,15.750,14.850
299.397930300,35.298511700,15.790,16.350
299.399527800,35.261258300,17.510,18.270
299.401380600,35.236433300,17.970,19.500
299.401611100,35.287080600,17.580,18.030
299.401758300,35.290661100,17.970,19.520
299.401825000,35.219058300,17.970,19.110
299.402391700,35.232238900,17.140,19.400
299.402441700,35.249997200,16.490,17.300
299.404430600,35.240169400,17.080,18.170
299.405641700,35.220325000,16.360,17.890
299.406202800,35.296345300,15.340,15.980
299.406455000,35.267414400,14.170,14.290
299.406747200,35.200980600,17.400,19.230
299.406894400,35.292788900,17.090,18.350
299.408222200,35.288705600,17.040,17.470
299.408530600,35.287700000,15.480,16.680
299.408930600,35.272541700,17.660,19.410
299.409594400,35.275408300,17.140,18.050
299.409989200,35.268121900,14.230,14.350
299.410300000,35.208463900,17.640,18.350
299.411205600,35.282205600,16.470,16.780
