NOMAD1,RAJ2000,DEJ2000,YM,r,pmRA,e_pmRA,pmDE,e_pmDE,Bmag,r_Bmag,Vmag,r_Vmag,Rmag,r_Rmag,Jmag,Hmag,Kmag,R
1250-0386686,299.6282917,35.0523361,YM,B,6.0,2.0,-12.0,2.0,17.000,Y,17.540,Y,16.690,B,15.348,14.804,14.682,
1250-0386734,299.6363889,35.0511250,YM,B,6.0,2.0,-10.0,4.0,18.090,B,17.340,Y,16.090,B,14.240,13.528,13.311,
1250-0386760,299.6421417,35.0488111,YM,B,0.0,0.0,0.0,0.0,18.390,B,16.990,Y,16.110,B,13.220,12.243,11.930,
1250-0386781,299.6459194,35.0619472,YM,B,0.0,0.0,0.0,0.0,17.310,Y,17.150,Y,16.320,B,14.730,14.490,14.371,
1250-0386789,299.6471806,35.0545278,YM,B,6.0,1.0,0.0,7.0,17.460,B,17.790,Y,16.790,B,15.657,15.273,15.131,
1250-0386806,299.6518056,35.0523056,YM,B,4.0,4.0,-8.0,1.0,19.250,B,17.970,Y,17.230,B,15.829,15.176,15.212,
1250-0386796,299.6495444,35.0648028,YM,B,0.0,0.0,0.0,0.0,16.170,B,17.420,Y,16.160,B,14.925,14.297,14.268,
1250-0386811,299.6533683,35.0579700,YM,C,-2.9,0.7,-0.5,1.0,12.530,B,12.190,Y,10.770,B,9.277,8.732,8.532,
1250-0386829,299.6574433,35.0793014,YM,C,4.5,5.4,-1.5,5.4,14.260,B,14.020,Y,13.700,B,12.472,12.145,12.069,
1250-0386870,299.6635806,35.0619111,YM,B,8.0,1.0,-4.0,0.0,,,16.530,Y,16.050,B,13.378,12.426,12.108,
1250-0386871,299.6638472,35.0784333,YM,B,10.0,3.0,2.0,1.0,18.570,o,17.340,Y,16.230,B,14.599,14.114,13.914,
1250-0386895,299.6677722,35.0647167,YM,B,10.0,2.0,-8.0,3.0,16.470,o,16.330,Y,15.080,B,12.111,11.221,10.914,
1250-0386913,299.6708722,35.0649583,YM,B,0.0,0.0,0.0,0.0,13.900,B,17.280,Y,16.190,B,14.695,14.266,13.957,
