#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-06-19T16:26:30 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ62af393d2c50d2	
#INFO	-out.max=200	
#INFO	queryParameters=32	
#-oc.form=dec
#-out.max=200
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-nav=cat:I/297&tab:{I/297/out}&key:kw.Wavelength=optical&key:kw.Mission=Gaia&key:kw.Astronomy=Stars&key:source=NOMAD&HTTPPRM:&&-ref=VIZ62af393d2c50d2&-out.max=200&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-out.src=I/297/out&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out=NOMAD1&-out=YM&-out=RAJ2000&-out=DEJ2000&-out=r&-out=pmRA&-out=e_pmRA&-out=pmDE&-out=e_pmDE&-out=Bmag&-out=r_Bmag&-out=Vmag&-out=r_Vmag&-out=Rmag&-out=r_Rmag&-out=Jmag&-out=Hmag&-out=Kmag&-out=R&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-out.src=I/297/out
#-source=I/297/out
#-out=NOMAD1
#-out=YM
#-out=RAJ2000
#-out=DEJ2000
#-out=r
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#-out=Bmag
#-out=r_Bmag
#-out=Vmag
#-out=r_Vmag
#-out=Rmag
#-out=r_Rmag
#-out=Jmag
#-out=Hmag
#-out=Kmag
#-out=R
#
#
#RESOURCE=yCat_1297
#Name: I/297
#Title: NOMAD Catalog (Zacharias+ 2005)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	I_297_out:
#Name: I/297/out
#Title: The NOMAD-1 Catalog
#Column	_RAJ2000	(F13.9)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F13.9)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	NOMAD1	(a12)	NOMAD-identifier (1)	[ucd=meta.id;meta.main]
#Column	YM	(A2)	[YM.] Existence in YB6 or 2MASS (Cat. II/246)	[ucd=meta.note]
#Column	RAJ2000	(F11.7)	Right ascension in ICRS, Ep=J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F11.7)	Declination in ICRS, Ep=J2000	[ucd=pos.eq.dec;meta.main]
#Column	r	(A1)	[BCMYTH] Source of position (3)	[ucd=meta.ref;pos.frame]
#Column	pmRA	(F8.1)	Proper motion in RA (*cos(Dec))	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F5.1)	Mean error on pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F8.1)	Proper motion in Declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F5.1)	Mean error on pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Bmag	(F6.3)	?Blue magnitude	[ucd=phot.mag;em.opt.B]
#Column	r_Bmag	(A1)	[BCMYTHo] Origin of Bmag (3)	[ucd=meta.ref;pos.frame]
#Column	Vmag	(F6.3)	?Visual magnitude	[ucd=phot.mag;em.opt.V]
#Column	r_Vmag	(A1)	[BCMYTH] Origin of Vmag (3)	[ucd=meta.ref;pos.frame]
#Column	Rmag	(F6.3)	?Red magnitude	[ucd=phot.mag;em.opt.R]
#Column	r_Rmag	(A1)	[BCMYTHe] Origin of Rmag (3)	[ucd=meta.ref;pos.frame]
#Column	Jmag	(F6.3)	?Infrared J magnitude (from 2MASS)	[ucd=phot.mag;em.IR.J]
#Column	Hmag	(F6.3)	?Infrared H magnitude (from 2MASS)	[ucd=phot.mag;em.IR.H]
#Column	Kmag	(F6.3)	?Infrared K magnitude (from 2MASS)	[ucd=phot.mag;em.IR.K]
#Column	R	(A1)	[R*] Recommended (R) or Problematic (*) (4)	[ucd=meta.note]
_RAJ2000;_DEJ2000;NOMAD1;YM;RAJ2000;DEJ2000;r;pmRA;e_pmRA;pmDE;e_pmDE;Bmag;r_Bmag;Vmag;r_Vmag;Rmag;r_Rmag;Jmag;Hmag;Kmag;R
#deg;deg; ; ;deg;deg; ;mas/yr;mas/yr;mas/yr;mas/yr;mag; ;mag; ;mag; ;mag;mag;mag;
#-------------;-------------;------------;--;-----------;-----------;-;--------;-----;--------;-----;------;-;------;-;------;-;------;------;------;-
044.448130600;+00.641611100;0906-0029946;YM;044.4481306;+00.6416111;B;     0.0;  0.0;     0.0;  0.0;20.520;B;17.970;Y;18.560;B;15.695;15.150;14.987;
044.457286100;+00.650891700;0906-0029957;.M;044.4572861;+00.6508917;B;   -12.0; 11.0;   -14.0;  3.0;20.780;B;      ; ;19.080;B;16.225;15.528;15.478;
044.476175000;+00.663055600;0906-0029962;..;044.4761750;+00.6630556;B;   158.0; 27.0;   276.0; 24.0;      ; ;      ; ;20.050;B;      ;      ;      ;
044.504213900;+00.649100000;0906-0029976;..;044.5042139;+00.6491000;B;     0.0;  0.0;     0.0;  0.0;21.220;B;      ; ;19.880;e;      ;      ;      ;
044.505180600;+00.651947200;0906-0029977;..;044.5051806;+00.6519472;B;     0.0;  0.0;     0.0;  0.0;20.110;B;      ; ;18.690;B;      ;      ;      ;
044.510227800;+00.652144400;0906-0029980;.M;044.5102278;+00.6521444;B;     2.0;  3.0;   -18.0;  4.0;20.540;B;      ; ;18.740;B;15.304;14.640;14.428;
044.520922200;+00.664997200;0906-0029989;..;044.5209222;+00.6649972;B;     0.0;  0.0;     0.0;  0.0;21.150;B;      ; ;      ; ;      ;      ;      ;
044.558747200;+00.671622200;0906-0030007;Y.;044.5587472;+00.6716222;B;    40.0;  5.0;   -68.0;  9.0;19.340;B;17.970;Y;19.070;B;      ;      ;      ;
044.560216700;+00.671294400;0906-0030011;..;044.5602167;+00.6712944;B;     0.0;  0.0;     0.0;  0.0;20.290;o;      ; ;20.340;B;      ;      ;      ;
044.558800000;+00.671991700;0906-0030008;..;044.5588000;+00.6719917;B;     0.0;  0.0;     0.0;  0.0;20.090;B;      ; ;20.380;B;      ;      ;      ;
044.559038900;+00.671972200;0906-0030010;..;044.5590389;+00.6719722;B;     0.0;  0.0;     0.0;  0.0;20.180;B;      ; ;20.360;B;      ;      ;      ;
044.557608300;+00.671627800;0906-0030006;..;044.5576083;+00.6716278;B;  -280.0;  5.0;    28.0; 26.0;20.830;B;      ; ;19.410;B;      ;      ;      ;
044.524077800;+00.668944400;0906-0029992;..;044.5240778;+00.6689444;B;     0.0;  0.0;     0.0;  0.0;19.270;B;      ; ;18.170;B;      ;      ;      ;
044.500419400;+00.661641700;0906-0029973;..;044.5004194;+00.6616417;B;     0.0;  0.0;     0.0;  0.0;21.200;B;      ; ;      ; ;      ;      ;      ;
044.495955600;+00.666852800;0906-0029968;..;044.4959556;+00.6668528;B;  -276.0;  3.0;   412.0; 41.0;21.200;B;      ; ;20.450;B;      ;      ;      ;
044.510530600;+00.674958300;0906-0029981;YM;044.5105306;+00.6749583;B;     0.0;  0.0;     0.0;  0.0;16.950;Y;16.570;Y;16.660;B;15.773;15.128;15.217;
044.507208300;+00.675291700;0906-0029978;..;044.5072083;+00.6752917;B;     0.0;  0.0;     0.0;  0.0;      ; ;      ; ;20.390;B;      ;      ;      ;
044.523911100;+00.683683300;0906-0029991;..;044.5239111;+00.6836833;B;     0.0;  0.0;     0.0;  0.0;      ; ;      ; ;19.960;B;      ;      ;      ;
044.514627800;+00.679933300;0906-0029984;..;044.5146278;+00.6799333;B;     0.0;  0.0;     0.0;  0.0;20.810;o;      ; ;19.760;e;      ;      ;      ;
044.511069400;+00.684913900;0906-0029982;YM;044.5110694;+00.6849139;B;   -38.0; 17.0;   -40.0;  8.0;20.240;B;17.970;Y;18.170;B;16.792;16.236;15.970;
044.512077800;+00.684691700;0906-0029983;..;044.5120778;+00.6846917;B;    56.0; 19.0;   -42.0; 43.0;20.720;o;      ; ;20.510;B;      ;      ;      ;
044.508188900;+00.691080600;0906-0029979;..;044.5081889;+00.6910806;B;     0.0;  0.0;     0.0;  0.0;21.220;B;      ; ;20.340;B;      ;      ;      ;
044.499786100;+00.689011100;0906-0029971;..;044.4997861;+00.6890111;B;     0.0;  0.0;     0.0;  0.0;21.010;B;      ; ;20.350;B;      ;      ;      ;
044.499352800;+00.689327800;0906-0029970;..;044.4993528;+00.6893278;B;   -44.0;  1.0;    38.0;  6.0;20.980;B;      ; ;20.250;B;      ;      ;      ;
044.515344400;+00.697616700;0906-0029985;..;044.5153444;+00.6976167;B;     0.0;  0.0;     0.0;  0.0;20.780;B;      ; ;20.450;B;      ;      ;      ;
